,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour,dayofweek
5700,2012-01-12 16:00:00,4,0,1,1,18.86,22.725,67,12.998,33,248,281,2012,1,12,16,3
8463,2012-07-14 00:00:00,2,0,0,2,29.52,33.335,48,6.0032,35,156,191,2012,7,14,0,5
5187,2011-12-10 05:00:00,3,0,0,1,10.66,12.88,60,11.0014,0,6,6,2011,12,10,5,5
659,2011-02-10 17:00:00,4,0,1,1,7.38,9.09,26,12.998,6,159,165,2011,2,10,17,3
9221,2012-09-07 14:00:00,2,0,1,1,32.8,38.635,59,16.9979,66,187,253,2012,9,7,14,4
7758,2012-06-03 15:00:00,1,0,0,1,28.7,31.82,34,0.0,236,408,644,2012,6,3,15,6
4729,2011-11-10 03:00:00,3,0,1,1,15.58,19.695,94,6.0032,0,11,11,2011,11,10,3,3
2630,2011-06-17 12:00:00,1,0,1,1,28.7,32.575,65,16.9979,49,194,243,2011,6,17,12,4
2716,2011-07-02 02:00:00,2,0,0,1,26.24,31.06,53,0.0,9,43,52,2011,7,2,2,5
7871,2012-06-08 08:00:00,1,0,1,1,23.78,27.275,60,6.0032,37,663,700,2012,6,8,8,4
7430,2012-05-08 23:00:00,1,0,1,3,24.6,28.79,78,22.0028,10,53,63,2012,5,8,23,1
9181,2012-09-05 22:00:00,2,0,1,1,29.52,34.85,79,0.0,38,181,219,2012,9,5,22,2
3573,2011-08-18 19:00:00,2,0,1,1,27.06,30.305,83,7.0015,26,115,141,2011,8,18,19,3
3082,2011-07-17 08:00:00,2,0,0,1,27.88,31.82,65,15.0013,45,73,118,2011,7,17,8,6
9958,2012-10-19 07:00:00,3,0,1,3,22.14,25.76,94,0.0,5,149,154,2012,10,19,7,4
6945,2012-04-07 17:00:00,1,0,0,1,22.14,25.76,19,27.9993,299,268,567,2012,4,7,17,5
7406,2012-05-07 23:00:00,1,0,1,2,22.14,25.76,45,12.998,21,92,113,2012,5,7,23,0
